skill_code	concept_1	definition_1	concept_2	definition_2	concept_3	definition_3	concept_4	definition_4
MATH101-K1	极限	自变量趋近某点时函数值的变化趋势	连续	函数在该点的极限存在且等于函数值	无穷小	在给定趋近过程中极限为零的量	间断点	函数在该点不满足连续条件的位置
MATH101-K2	导数	函数增量与自变量增量之比的极限	微分	函数增量的线性主部	驻点	一阶导数等于零的定义域内点	切线斜率	函数在一点处导数的几何意义
MATH101-K3	定积分	黎曼和在分割加细时的极限	原函数	导数等于给定函数的函数	微积分基本定理	把定积分与原函数联系起来的定理	平均值	区间定积分除以区间长度所得的函数平均值
MATH102-K1	矩阵秩	矩阵中线性无关行或列的最大数目	逆矩阵	与原矩阵相乘得到单位矩阵的矩阵	初等行变换	交换行、倍乘行或用一行倍数加到另一行	齐次方程组	常数项全部为零的线性方程组
MATH102-K2	线性相关	存在不全为零的系数使向量线性组合为零	基	线性无关且能够张成全空间的向量组	维数	向量空间任意一组基所含向量的个数	线性变换	保持向量加法和数乘的映射
MATH102-K3	特征值	满足 Av=λv 且 v 非零时的标量 λ	特征向量	在线性变换下方向保持不变的非零向量	相似矩阵	存在可逆矩阵 P 使 B=P⁻¹AP 的两个矩阵	正定二次型	对任意非零向量取值均为正的二次型
STAT201-K1	分布函数	随机变量不超过给定值的概率函数	概率密度	连续型随机变量区间概率的积分核	期望	随机变量取值按概率加权的平均	独立性	联合概率可分解为边缘概率乘积的关系
STAT201-K2	方差	随机变量与其期望偏差平方的期望	协方差	两个随机变量中心化乘积的期望	大数定律	样本均值依概率趋近总体期望的规律	中心极限定理	适当标准化的独立和趋近正态分布的定理
STAT201-K3	点估计	用单个统计量估计未知参数	置信区间	按给定置信水平构造的参数区间估计	原假设	显著性检验中首先假定成立的命题	p 值	原假设成立时得到当前或更极端结果的概率
CS201-K1	命题	能够判断真假的陈述句	蕴含	仅当前件真而后件假时为假的联结词	永真式	在所有真值指派下均为真的公式	量词	表示个体范围内全称或存在关系的符号
CS201-K2	幂集	由一个集合全部子集组成的集合	等价关系	同时满足自反、对称和传递的二元关系	排列	考虑元素次序的选取方式	组合	不考虑元素次序的选取方式
CS201-K3	简单路径	顶点不重复的路径	连通图	任意两个顶点之间都存在路径的无向图	生成树	包含全部顶点且无环的连通子图	群	满足封闭、结合、单位元和逆元的代数结构
CS101-K1	整型	用于表示离散整数值的数据类型	浮点型	用有限精度近似表示实数的数据类型	类型转换	把一个数据类型的值转换为另一类型	短路求值	逻辑表达式结果确定后停止计算后续操作数
CS101-K2	条件分支	依据布尔条件选择不同执行路径的结构	循环	在条件控制下重复执行代码块的结构	形参	函数定义中用于接收实参值的变量	返回值	函数执行结束后交给调用者的结果
CS101-K3	数组	按连续位置存放同类型元素的序列	指针	保存内存地址的变量	结构体	把多个不同类型字段组合成一个记录的类型	越界访问	访问数组合法下标范围之外位置的操作
CS202-K1	线性表	元素之间具有一对一前后关系的序列	栈	只允许在一端插入和删除的后进先出结构	队列	一端插入另一端删除的先进先出结构	循环队列	利用取模把顺序存储首尾逻辑相连的队列
CS202-K2	二叉树	每个结点最多有两个孩子的树	二叉搜索树	左子树键值较小且右子树键值较大的二叉树	深度优先搜索	沿一条分支尽可能深入后回溯的遍历	广度优先搜索	按与起点距离逐层访问顶点的遍历
CS202-K3	二分查找	在有序序列中反复折半搜索的算法	稳定排序	相等关键字元素相对次序保持不变的排序	时间复杂度	算法运行时间随输入规模增长的数量级	哈希冲突	不同关键字被映射到同一哈希地址的现象
CS203-K1	补码	计算机中统一表示有符号整数和加减运算的编码	溢出	运算结果超出当前数据格式可表示范围的现象	浮点数	由符号、阶码和尾数组成的实数近似表示	算术逻辑单元	处理算术与逻辑运算的组合逻辑部件
CS203-K2	指令周期	处理器取指、译码并执行一条指令的过程	程序计数器	保存下一条待取指令地址的寄存器	流水线	让多条指令的不同阶段重叠执行的技术	控制冒险	分支改变取指方向造成的流水线不确定性
